Hyperparameters,F1-Score on Deceased,Recall on Deceased,Overall Accuracy,Overall Recall(Macro),Overall F1-Score(Macro)
"{'depth': 12, 'l2_leaf_reg': 0.22572295962197117, 'learning_rate': 0.3749666419176886, 'n_estimators': 430}",0.1998713602771411,0.2006693002345278,0.8567239498090562,0.6856458391665166,0.6835435513938852
"{'depth': 12, 'l2_leaf_reg': 0.05955245865984768, 'learning_rate': 0.5166449792564678, 'n_estimators': 425}",0.19801919667911547,0.17805567892288635,0.8564682214948173,0.6798909412879124,0.6823707856293604
"{'depth': 13, 'l2_leaf_reg': 0.11855496273751953, 'learning_rate': 0.44333590910981696, 'n_estimators': 301}",0.1948493065327923,0.18446935165922568,0.8561511183851609,0.6819055180527863,0.681718630382914
"{'depth': 13, 'l2_leaf_reg': 0.16625198110038777, 'learning_rate': 0.7826337100643006, 'n_estimators': 183}",0.1929123302584163,0.1827953219108171,0.8528402891434806,0.6780981000721942,0.6781953279162607
"{'depth': 13, 'l2_leaf_reg': 0.07098589538144459, 'learning_rate': 0.44129998640102586, 'n_estimators': 484}",0.19271503385327626,0.17637892210716594,0.8543030551009274,0.6769286677412212,0.6788573021288598
"{'depth': 13, 'l2_leaf_reg': 0.06132646535706557, 'learning_rate': 0.40729503592435495, 'n_estimators': 595}",0.19173515594525273,0.17107711367195716,0.8537268139661757,0.6761242100229269,0.6784428602109722
"{'depth': 9, 'l2_leaf_reg': 0.07981388613008208, 'learning_rate': 0.6350364474051922, 'n_estimators': 259}",0.19165098120243473,0.22857771752257622,0.8562909165302782,0.6914060936404622,0.6827253305075878
"{'depth': 12, 'l2_leaf_reg': 0.09368943406621918, 'learning_rate': 0.5431225434239693, 'n_estimators': 517}",0.18759475643370718,0.17470878816920285,0.8540814238952537,0.6777050484223712,0.6780828851332223
"{'depth': 9, 'l2_leaf_reg': 0.052439973561683506, 'learning_rate': 0.7071278079700667, 'n_estimators': 106}",0.184391597576204,0.2154694841167808,0.8362963720676488,0.6699378830959,0.6631757742422013
"{'depth': 12, 'l2_leaf_reg': 0.2002219251081742, 'learning_rate': 0.635796584306084, 'n_estimators': 434}",0.17592566063605747,0.17916910154819507,0.8503205128205128,0.6758587658913366,0.6727737361789516
"{'depth': 13, 'l2_leaf_reg': 0.1641653167806218, 'learning_rate': 0.6728107908304619, 'n_estimators': 444}",0.16823120074415568,0.16688405288952263,0.8471324331696672,0.6696434962878725,0.6679922314020835
"{'depth': 11, 'l2_leaf_reg': 0.059394273228797145, 'learning_rate': 0.6751158505869168, 'n_estimators': 466}",0.12952481857990752,0.2274549449521984,0.8034131205673758,0.644200402066831,0.6253750248533986
"{'depth': 10, 'l2_leaf_reg': 0.02031628953219486, 'learning_rate': 0.6178776868198363, 'n_estimators': 448}",0.11829843703855003,0.26679678673554463,0.7847995090016366,0.6402859752990411,0.6106761314226092
"{'depth': 12, 'l2_leaf_reg': 0.024212040434550858, 'learning_rate': 0.5898162433511094, 'n_estimators': 190}",0.11500827047513022,0.27682849863257053,0.800801282051282,0.6557346514487222,0.626952682858118
"{'depth': 10, 'l2_leaf_reg': 0.027416541853528542, 'learning_rate': 0.6701520646665837, 'n_estimators': 479}",0.11417430808436364,0.24112651254840545,0.77932010365521,0.6279329587862209,0.6025289861185483
"{'depth': 10, 'l2_leaf_reg': 0.031967399582730066, 'learning_rate': 0.6231369279448609, 'n_estimators': 366}",0.1126399721013253,0.20596136914362298,0.7703866612111293,0.6190110986525792,0.5965592940731957
"{'depth': 13, 'l2_leaf_reg': 0.07238719118454612, 'learning_rate': 0.7520572922101099, 'n_estimators': 208}",0.10601007135323522,0.2311033714343595,0.798339470812875,0.6420095137232619,0.6202519738205041
"{'depth': 13, 'l2_leaf_reg': 0.02961235311606586, 'learning_rate': 0.7290929364998802, 'n_estimators': 242}",0.10061497478157178,0.26236023780026957,0.7876057010365521,0.6368513485608867,0.6083201073615514
"{'depth': 12, 'l2_leaf_reg': 0.023110203899590537, 'learning_rate': 0.6777595359968923, 'n_estimators': 307}",0.09345262701816512,0.29666401751556376,0.7691489361702127,0.6327206702992401,0.598047630340867
"{'depth': 11, 'l2_leaf_reg': 0.03137583471363897, 'learning_rate': 0.7465292393504979, 'n_estimators': 103}",0.09076606792088426,0.20510896581815916,0.766550736497545,0.6092845994017988,0.5875985254219989
"{'depth': 12, 'l2_leaf_reg': 0.04281567992361718, 'learning_rate': 0.7718445648456229, 'n_estimators': 161}",0.08562955666225226,0.2360907879666207,0.7723370158210584,0.621824675432237,0.5950100564854471
